SbjCode,Country,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NGDPD,Canada,U.S. dollars,738.968,760.149,895.599,"1,026.47","1,173.51","1,319.36","1,468.90","1,552.86","1,376.51","1,617.35","1,793.33","1,828.36","1,846.60","1,805.75","1,556.51","1,528.00","1,649.27","1,725.30","1,743.73","1,647.60","2,001.49","2,137.94"
NGDP_RPCH,Canada,Percent change,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.777,1.888,-5.074,5.012,3.438
NGDPDPC,Canada,U.S. dollars,"23,859.71","24,279.19","28,338.75","32,176.59","36,439.62","40,558.90","44,716.99","46,773.84","40,990.63","47,627.35","52,285.94","52,744.00","52,708.61","51,020.84","43,626.47","42,382.64","45,191.99","46,625.86","46,449.96","43,383.71","52,387.81","55,036.52"
PPPSH,Canada,Percent,1.801,1.805,1.766,1.729,1.704,1.661,1.609,1.578,1.539,1.506,1.494,1.456,1.469,1.478,1.424,1.443,1.451,1.44,1.428,1.398,1.381,1.383
NID_NGDP,Canada,Percent of GDP,19.671,19.739,20.467,21.383,22.632,23.595,23.908,24.072,21.959,23.482,24.151,24.868,24.908,24.871,23.822,22.761,23.55,23.377,23.042,22.257,23.805,24.526
NGSD_NGDP,Canada,Percent of GDP,21.885,21.471,21.699,23.729,24.561,25.038,24.732,24.221,19.05,19.918,21.438,21.337,21.766,22.551,20.326,19.673,20.748,21,21.089,20.104,23.536,24.199
PCPIPCH,Canada,Percent change,2.525,2.258,2.759,1.857,2.214,2.002,2.138,2.37,0.299,1.777,2.912,1.516,0.938,1.907,1.125,1.429,1.597,2.268,1.949,0.717,3.401,6.797
TM_RPCH,Canada,Percent change,-4.865,1.867,4.208,8.506,7.349,5.321,5.775,0.895,-12.395,13.788,5.594,3.709,2.077,2.531,0.751,0.051,4.627,3.309,0.353,-9.331,7.795,7.568
TX_RPCH,Canada,Percent change,-2.9,1.229,-1.709,5.531,2.272,0.881,1.138,-4.544,-12.965,6.678,4.828,2.815,2.461,6.323,3.419,1.407,1.445,3.825,2.704,-8.85,1.381,2.775
LUR,Canada,Percent of total labor force,7.225,7.683,7.592,7.15,6.75,6.45,6.158,6.308,8.458,8.142,7.617,7.408,7.175,7.033,6.95,7.033,6.408,5.85,5.7,9.725,7.508,5.275
LE,Canada,Persons,14.938,15.284,15.653,15.923,16.13,16.42,16.761,16.988,16.756,16.985,17.25,17.483,17.704,17.775,17.905,18.015,18.401,18.729,19.114,18.047,18.95,19.7
LP,Canada,Persons,30.971,31.309,31.603,31.901,32.204,32.529,32.849,33.199,33.581,33.958,34.298,34.665,35.034,35.392,35.678,36.052,36.495,37.003,37.54,37.977,38.205,38.846
GGR_NGDP,Canada,Percent of GDP,41.632,40.16,40.149,39.902,40.074,40.488,40.339,38.96,39.539,38.326,38.267,38.402,38.466,38.545,39.957,40.3,40.343,41.022,40.572,41.799,41.475,40.619
GGX_NGDP,Canada,Percent of GDP,41.102,40.394,40.276,39.135,38.521,38.661,38.519,38.775,43.421,43.064,41.575,40.926,39.961,38.37,40.018,40.753,40.455,40.662,40.59,52.71,45.856,41.433
GGXCNL_NGDP,Canada,Percent of GDP,0.529,-0.234,-0.127,0.768,1.553,1.828,1.82,0.184,-3.881,-4.738,-3.309,-2.525,-1.495,0.175,-0.062,-0.453,-0.112,0.36,-0.017,-10.91,-4.381,-0.814
GGSB_NPGDP,Canada,Percent of potential GDP,0.123,-0.465,0.169,0.784,1.101,1.04,0.841,-0.522,-2.044,-3.701,-3.07,-2.289,-1.499,-0.561,0.012,0.048,-0.307,0.04,-0.233,-8.123,-3.321,-1.357
GGXONLB_NGDP,Canada,Percent of GDP,3.38,2.256,1.645,2.258,2.532,2.411,2.368,0.466,-2.776,-3.9,-2.701,-1.822,-0.994,0.451,0.588,0.131,0.089,0.462,0.104,-10.469,-4.966,-1.251
GGXWDN_NGDP,Canada,Percent of GDP,40.29,38.944,35.432,34.462,29.133,24.775,21.782,22.376,26.808,28.314,28.928,28.602,26.586,21.657,18.518,17.981,12.541,11.552,8.473,15.727,15.378,14.204
GGXWDG_NGDP,Canada,Percent of GDP,81.462,79.604,75.912,71.889,70.64,69.92,67.181,70.439,81.87,84.02,84.348,87.185,87.605,85.541,92.029,92.397,90.942,90.776,90.21,118.872,115.074,107.375
BCA,Canada,U.S. dollars,16.351,13.191,11.026,24.072,22.619,19.064,12.094,2.287,-40.047,-57.616,-48.633,-64.62,-58.011,-41.891,-54.402,-47.188,-46.226,-41.01,-34.054,-35.475,-5.383,-6.995
BCA_NGDPD,Canada,Percent of GDP,2.213,1.735,1.231,2.345,1.927,1.445,0.823,0.147,-2.909,-3.562,-2.712,-3.534,-3.141,-2.32,-3.495,-3.088,-2.803,-2.377,-1.953,-2.153,-0.269,-0.327
NGDPD,China,U.S. dollars,"1,333.65","1,465.83","1,656.96","1,949.45","2,290.02","2,754.15","3,555.66","4,577.28","5,088.99","6,033.83","7,492.21","8,539.58","9,624.93","10,524.24","11,113.51","11,226.90","12,265.33","13,841.81","14,340.60","14,862.56","17,759.31","17,886.33"
NGDP_RPCH,China,Percent change,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.242,8.45,2.989
NGDPDPC,China,U.S. dollars,"1,044.96","1,141.14","1,282.21","1,499.71","1,751.37","2,095.24","2,691.05","3,446.70","3,813.41","4,499.80","5,553.24","6,282.71","7,039.57","7,645.88","8,034.29","8,063.45","8,760.26","9,848.95","10,170.06","10,525.00","12,572.07","12,669.62"
PPPSH,China,Percent,7.646,8.115,8.581,8.977,9.547,10.221,11.079,11.792,12.961,13.61,14.34,15.008,15.385,15.674,15.964,16.079,16.178,16.677,17.199,18.131,18.505,18.443
NID_NGDP,China,Percent of GDP,35.694,36.27,39.7,41.973,40.273,39.881,40.421,42.425,45.469,46.968,47.029,46.186,46.136,45.612,43.033,42.655,43.172,43.961,43.068,42.857,43.289,43.476
NGSD_NGDP,China,Percent of GDP,37,38.686,42.298,45.509,46.054,48.299,50.354,51.613,50.249,50.909,48.846,48.708,47.676,47.855,45.669,44.359,44.71,44.136,43.786,44.531,45.276,45.722
PCPIPCH,China,Percent change,0.71,-0.737,1.126,3.831,1.78,1.646,4.818,5.909,-0.727,3.176,5.534,2.609,2.568,2.051,1.542,2.123,1.521,1.925,2.902,2.487,0.853,1.878
TM_RPCH,China,Percent change,14.329,22.375,32.655,20.739,13.385,17.693,14.901,7.545,3.117,23.094,13.422,6.591,10.647,7.774,-0.438,4.387,7.315,7.259,-2.904,-0.975,9.298,-5.008
