WEO Subject Code,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
PPPGDP,United States,10581.93,10929.1,11456.45,12217.18,13039.2,13815.6,14474.25,14769.85,14478.05,15048.98,15599.73,16253.95,16843.23,17550.68,18206.03,18695.1,19477.35,20533.08,21380.95,21060.45,23315.08,25462.73
NGDPDPC,United States,37101.45,37945.76,39405.35,41641.62,44034.26,46216.85,47943.35,48470.55,47102.43,48586.29,50008.11,51736.74,53245.52,55083.51,56729.68,57839.99,59878.72,62787.78,65077.3,63577.34,70159.77,76343.25
PPPGDP,United Kingdom,1679.76,1736.15,1825.71,1918.68,2031.65,2139.59,2253.74,2293.41,2204,2284.7,2357.07,2441.79,2563.54,2667.11,2774.54,2903.36,3056.6,3183.46,3292.55,2967.58,3336.47,3716.62
NGDPDPC,United Kingdom,27897.13,30129.42,34516.91,40434.58,42170.81,44613.88,50457.55,47918.32,38969.68,39736.21,42147.69,42489.95,43492.46,47476.19,45085.34,41275.86,40666.83,43377.76,42797.26,40347.36,46421.61,45461.07
PPPGDP,France,1754.29,1802.66,1853.69,1951.62,2048,2167.22,2278.78,2325.84,2275.6,2344.4,2446.48,2474.01,2608.53,2662.03,2719.22,2863.82,2997.3,3125.17,3241.31,3031.37,3369.29,3696.24
NGDPDPC,France,23245.26,25137.4,30682.64,35016.22,36057.12,37795.92,43060.03,47155.21,43190.97,42178.58,45419.97,42372.07,44144.64,44616.46,37937.86,38348.51,40134.13,43060.59,41924.84,40529.09,45201.23,42349.89
PPPGDP,Germany,2493.79,2527.57,2559.34,2659.16,2762.46,2956.3,3126.73,3217.26,3053.45,3219.49,3415.02,3487.23,3628.56,3807.12,3890.13,4164.75,4411.73,4562.24,4693.78,4572.96,4929.78,5370.29
NGDPDPC,Germany,23869.77,25460.33,30668.85,34534.81,35020.2,36894.47,42299.86,46367.72,42338.84,42379.71,46697.38,43883.39,46299.23,48035.95,41107.1,42124.2,44636.83,47961.18,46810.28,46711.98,51460.99,48756.31
PPPGDP,Italy,1733.31,1764.79,1802.12,1876.84,1951.53,2047.76,2134.38,2154.38,2053.69,2113.98,2173.17,2172.38,2187.38,2200.26,2241.52,2420.43,2529.5,2614.3,2674.05,2465.71,2756.47,3059.34
NGDPDPC,Italy,20505.92,22386.28,27580.48,31342.83,32031.43,33448.11,37828.34,40818.99,36982.81,35815.62,38276.03,34743.75,35534.99,35836.18,30463.7,31190.79,32648.76,34917.56,33628.16,31784.81,35717.38,34084.52
PPPGDP,Canada,954.24,998.37,1036.41,1097.08,1167.74,1235.49,1295.17,1333.26,1302.54,1358.93,1430.81,1468.1,1554.12,1621.4,1594.9,1678.39,1776.86,1870.11,1939.59,1865.2,2046.66,2265.32
NGDPDPC,Canada,23859.71,24279.19,28338.75,32176.59,36439.62,40558.9,44716.99,46773.84,40990.63,47627.35,52285.94,52744,52708.61,51020.84,43626.47,42382.64,45191.99,46625.86,46449.96,43383.71,52387.81,55036.52
PPPGDP,Japan,3568.39,3625.53,3753.84,3938.87,4135.68,4321.8,4504.46,4534.63,4303.87,4534.09,4629.4,4799.61,5021.59,5034.46,5200.91,5159.73,5248.42,5409.18,5484.06,5319.95,5682.87,6144.6
NGDPDPC,Japan,34410.68,32832.3,35410.23,38307.1,37819.11,36021.9,35847.23,39992.06,41469.77,45135.8,48760.92,49175.04,40934.76,38522.77,35005.66,39411.42,38903.3,39850.33,40547.97,40132.96,39933.01,33853.8
PPPGDP,India,2172.73,2292.81,2523.8,2794.96,3150.25,3548.31,4001.38,4236.79,4625.52,5161.39,5618.38,6153.15,6477.52,6781.02,7159.8,7735,8276.93,9022.95,9540.37,9101.31,10370.82,11900.71
NGDPDPC,India,457.8,477.07,553.38,635.05,722.49,809.57,1041.19,1014.39,1115.83,1377.11,1449.6,1434.02,1438.06,1559.86,1590.17,1714.28,1957.97,1974.38,2050.16,1913.22,2238.13,2391.87
PPPGDP,Russia,1671,1777.59,1946.01,2141.03,2349.42,2619.67,2920.51,3132.7,2906.2,3073.85,3259.32,3480.3,3741.78,3763.54,3526.24,3538.58,3818.78,4020.34,4182.4,4124.55,4551.78,4769.83
NGDPDPC,Russia,2255.25,2552.79,3197.57,4403.96,5708.84,7426.01,9761.37,12464.24,9156.97,11431.15,14306.43,15287.97,15928.7,14007.51,9257.94,8723.52,10724,11261.72,11555.27,10180.66,12617.86,15645.69
PPPGDP,China,4050.99,4489.11,5036.46,5694.74,6542.26,7601.32,8918.95,9961.92,10972.76,12282.96,13735.67,15137.46,16277.36,17200.69,17880.34,18701.7,19814.06,21660.21,23360.81,24196.27,27419.47,30217.11
NGDPDPC,China,1044.96,1141.14,1282.21,1499.71,1751.37,2095.24,2691.05,3446.7,3813.41,4499.8,5553.24,6282.71,7039.57,7645.88,8034.29,8063.45,8760.26,9848.95,10170.06,10525,12572.07,12669.62
