CountryCode,SbjCode,Country,Units,Year,Values,l,h,id
CAN,LP,Canada,Persons,2022,38.846,0,38.846,1
ITA,LP,Italy,Persons,2022,59.03,48.846,107.876,2
FRA,LP,France,Persons,2022,65.647,117.876,183.523,3
GBR,LP,United Kingdom,Persons,2022,67.791,193.523,261.314,4
DEU,LP,Germany,Persons,2022,83.798,271.314,355.112,5
JPN,LP,Japan,Persons,2022,125.171,365.112,490.283,6
RUS,LP,Russia,Persons,2022,143.442,500.283,643.725,7
USA,LP,United States,Persons,2022,333.53,653.725,987.255,8
CHN,LP,China,Persons,2022,1411.75,997.255,2409.005,10
IND,LP,India,Persons,2022,1417.17,2419.005,3836.175,9
CAN,LP,Canada,Persons,2021,38.205,0,38.205,1
ITA,LP,Italy,Persons,2021,59.236,48.205,107.441,2
FRA,LP,France,Persons,2021,65.45,117.441,182.891,3
GBR,LP,United Kingdom,Persons,2021,67.28,192.891,260.171,4
DEU,LP,Germany,Persons,2021,83.196,270.171,353.367,5
JPN,LP,Japan,Persons,2021,125.507,363.367,488.874,6
RUS,LP,Russia,Persons,2021,145.558,498.874,644.432,7
USA,LP,United States,Persons,2021,332.314,654.432,986.746,8
IND,LP,India,Persons,2021,1407.56,996.746,2404.306,9
CHN,LP,China,Persons,2021,1412.6,2414.306,3826.906,10
CAN,LP,Canada,Persons,2020,37.977,0,37.977,1
ITA,LP,Italy,Persons,2020,59.641,47.977,107.618,2
FRA,LP,France,Persons,2020,65.269,117.618,182.887,3
GBR,LP,United Kingdom,Persons,2020,67.081,192.887,259.968,4
DEU,LP,Germany,Persons,2020,83.161,269.968,353.129,5
JPN,LP,Japan,Persons,2020,125.849,363.129,488.978,6
RUS,LP,Russia,Persons,2020,146.171,498.978,645.149,7
USA,LP,United States,Persons,2020,331.257,655.149,986.406,8
IND,LP,India,Persons,2020,1396.39,996.406,2392.796,9
CHN,LP,China,Persons,2020,1412.12,2402.796,3814.916,10
CAN,LP,Canada,Persons,2019,37.54,0,37.54,1
ITA,LP,Italy,Persons,2019,59.817,47.54,107.357,2
FRA,LP,France,Persons,2019,65.097,117.357,182.454,3
GBR,LP,United Kingdom,Persons,2019,66.797,192.454,259.251,4
DEU,LP,Germany,Persons,2019,83.093,269.251,352.344,5
JPN,LP,Japan,Persons,2019,126.221,362.344,488.565,6
RUS,LP,Russia,Persons,2019,146.749,498.565,645.314,7
USA,LP,United States,Persons,2019,328.547,655.314,983.861,8
IND,LP,India,Persons,2019,1383.11,993.861,2376.971,9
CHN,LP,China,Persons,2019,1410.08,2386.971,3797.051,10
CAN,LP,Canada,Persons,2018,37.003,0,37.003,1
ITA,LP,Italy,Persons,2018,59.938,47.003,106.941,2
FRA,LP,France,Persons,2018,64.844,116.941,181.785,3
GBR,LP,United Kingdom,Persons,2018,66.436,191.785,258.221,4
DEU,LP,Germany,Persons,2018,82.906,268.221,351.127,5
JPN,LP,Japan,Persons,2018,126.495,361.127,487.622,6
RUS,LP,Russia,Persons,2018,146.781,497.622,644.403,7
USA,LP,United States,Persons,2018,327.023,654.403,981.426,8
IND,LP,India,Persons,2018,1369,991.426,2360.426,9
CHN,LP,China,Persons,2018,1405.41,2370.426,3775.836,10
CAN,LP,Canada,Persons,2017,36.495,0,36.495,1
ITA,LP,Italy,Persons,2017,60.067,46.495,106.562,2
FRA,LP,France,Persons,2017,64.639,116.562,181.201,3
GBR,LP,United Kingdom,Persons,2017,66.04,191.201,257.241,4
DEU,LP,Germany,Persons,2017,82.657,267.241,349.898,5
JPN,LP,Japan,Persons,2017,126.746,359.898,486.644,6
RUS,LP,Russia,Persons,2017,146.88,496.644,643.524,7
USA,LP,United States,Persons,2017,325.28,653.524,978.804,8
IND,LP,India,Persons,2017,1354.2,988.804,2343.004,9
CHN,LP,China,Persons,2017,1400.11,2353.004,3753.114,10
CAN,LP,Canada,Persons,2016,36.052,0,36.052,1
ITA,LP,Italy,Persons,2016,60.164,46.052,106.216,2
FRA,LP,France,Persons,2016,64.469,116.216,180.685,3
GBR,LP,United Kingdom,Persons,2016,65.648,190.685,256.333,4
DEU,LP,Germany,Persons,2016,82.349,266.333,348.682,5
JPN,LP,Japan,Persons,2016,126.96,358.682,485.642,6
RUS,LP,Russia,Persons,2016,146.804,495.642,642.446,7
USA,LP,United States,Persons,2016,323.221,652.446,975.667,8
IND,LP,India,Persons,2016,1338.64,985.667,2324.307,9
CHN,LP,China,Persons,2016,1392.32,2334.307,3726.627,10
CAN,LP,Canada,Persons,2015,35.678,0,35.678,1
ITA,LP,Italy,Persons,2015,60.295,45.678,105.973,2
FRA,LP,France,Persons,2015,64.301,115.973,180.274,3
GBR,LP,United Kingdom,Persons,2015,65.11,190.274,255.384,4
DEU,LP,Germany,Persons,2015,81.687,265.384,347.071,5
JPN,LP,Japan,Persons,2015,126.978,357.071,484.049,6
RUS,LP,Russia,Persons,2015,146.545,494.049,640.594,7
USA,LP,United States,Persons,2015,320.926,650.594,971.52,8
IND,LP,India,Persons,2015,1322.87,981.52,2304.39,9
CHN,LP,China,Persons,2015,1383.26,2314.39,3697.65,10
CAN,LP,Canada,Persons,2014,35.392,0,35.392,1
ITA,LP,Italy,Persons,2014,60.346,45.392,105.738,2
FRA,LP,France,Persons,2014,64.028,115.738,179.766,3
GBR,LP,United Kingdom,Persons,2014,64.597,189.766,254.363,4
